"docID","text"
1267827290169208832,"playzz nrf giraffe group funds nrf turtle group funds nrf evil unicorn group funds nrf king bee group funds"
1267795467183644672,"codeblue"
1267499114952081408,"im live switching game daystodie join zombie killing fun"
1267307707167436800,"lets argue blacklivesmatter georgefloyd alllivesmatterwhenblacklivesmatter looters protests"
1267305039380590592,"amazing paper people kneeled"
1267635570009726976,"happy pride month heres simple rainbow makeup"
1267306740543926272,"house halloween spent day eating candy kids start knocking bunkerboy"
1268000626379763712,"mrhs alums preaching school sunshine rainbow make clear sch"
1267948048841310208,"dont give fuck"
1267305170049937408,"stand make voice heard blacklivesmatter blm protests equality"
1267945654589898752,"expect gop complained cost lighting wh rainbow"
1267601494708125696,"barley warrior cat week hes favorite fluffy farmer man rainbow background"
1267305521918488576,"god wait vote decent man represent americans"
1267584055866011648,"rainbow transgender pride flags lifted hamont city hall independent review police cond"
1267468535468449792,"awesome gesture"
1267543610330923008,"charging fire uphill preferred strategy high ground advantage dissolved superior resolve"
1267595043247927296,"average ordinary citizens country gonna terrorist bullshit"
1267598353581223936,"ive heard rainbow grape vine pride canceled month days dedicated wrath"
1267431330620596224,"unicornbeacon entropy beacon agile spotted cat bounced slow jackal meowed howl howl"
1267915905368879104,"de blasio ny protesters created attempt surround ve"
1267980343400857600,"quiet"
1268017323681525760,"bought mask months ago sad unintended dual purpose"
1267711267571105792,"action site finding local representatives contacting"
1267587774057766912,"rt account safe place muslim black brown lgbtq armys"
1267795598335512576,"unicorn texture makes hurl"
1267484981615562752,"remember trumps fucking pandemic response whats happening past week"
1267652072532373504,"coronavirus reducing social distancing metre double risk infection study suggests covid"
1267659366586413056,"join lis leadership paque international panellists tomorrow cest"
1267505480773046272,"news wigan council network rail intend make signage clearer low bridges borough"
1267304399182852096,"blacklivesmatter questions lives matter rhetoric fig"
1268016746775994368,"evo supports blacklivesmatter recent protests fighting police brutality disproportionately affects black"
1267809292327030784,"winner fight zombiesave city ageofz"
1267305003242446848,"question explain bastardization flag doesnt violate flag code"
1267881685921730560,"unicorn chaser cool astro news"
1267613095649783808,"companies flipping coin deciding put black white logo rainbow"
1267304886258905088,"tragic matter opportunity violence hate peaceful protest"
1265708201087062016,"im playing mtg clear statement double masters wot"
1267956288832618496,"lights world surrender allure tokyo iridescent pink metallic bag color effect"
1267558312582811648,"brain dead zombie hoards unique utter clowns"
1267923921950695424,"hit"
1267659906993266688,"great votetrumpout covid"
1267304687956418560,"boots ground anons needed cities part join historical moment georgefloydprotests"
1267556985517596672,"built country burn antifa news site unicorn riot conducting ground interviews"
1267619121572786176,"love suck dick chant opted corporations making ads amazon apple"
1267999779897913344,"love queen"
1267656801480105984,"human rights defenders varavararao anandteltumbde shomasen sudhabharadwaj denied interim bail"
1268006886777008128,"protesters moving back bk hour trapped manhattan bridge nycprotests nyccurfew black"
1267857920932188160,"youve looked cc programming youll likelyve heard pointers references"
1267304162179592192,"songsdabunker bunkerboy cries"
1267987793600491520,"crack tee culturevulture cover dropping june hope fucks lets"
1267305150449844224,"pain anger drive insane understand yall im yall blacklivesmatter"
1265574697145696256,"rohini hattangadi interview rohini hattangadi complete package make laugh cry mesmerize"
1267660649653559296,"confirmed covid cases african continent recoveries deaths view country"
1267960697477980160,"hey black squares rainbow flags whatnot"
1267533012670926848,"zombie fucked wendys"
1267906153910067200,"takedown textbook"
1267953462353883136,"trump ill pass idea john lennon zombie eating brain weird"
1266537343751786496,"arrest young brown cnn reporter white cop killed black man thugs freeomarjimene"
1267933291438460928,"zombie enablers perfect description silent gop support president"
1267970472614014976,"made tumblr notes yooooo love yall"
1267497312705744896,"video game playing unicorn infinite adventure game houses"
1267990326771240960,"wherethewildthingsare fieldgrownflowers season officially visited longtime favorite"
1267309865631801344,"saboteur protests theyre infiltrating decent protests factions riots"
1267519108968583168,"unicorn tears taishou alice character song series volgretel"
1267815946002919424,"government records show grants export licences worth millions pounds sale anti crowd gas riot equipme"
1267607484711264256,"accommodative monetary policy big firms shut fed"
1267644795721113600,"tri colour flying high india indian hockey star nalconian sunita lakra bit raise"
1267304864922480640,"powerful masterpiece films black people dying state emergency cou"
1267414448945475584,"betrayer beast fake weloveshehnaaz shehnaazgiil shehnaazians"
1267659290740916224,"quarantine longer expected wanna due covid sending peop"
1267450724448960512,"dont wanna adult anymore unicorn"
1267969277434396672,"pues si quiero pegar tiro hoshi rainbow seungkwan generous taeyong regular woojin pretty woojin flower chenle precious"
1267616939217760256,"bet shes zombie"
1267989693414674432,"nitro cell special part rainbow siege"
1267944926978998272,"closeted telling parents rainbow gt"
1267800443020869632,"grand rising havent sleep"
1268016713301458944,"baby point blacklivesmatter"
1266719623971471360,"history mtg banned restricted list continues today part"
1268016487924740096,"ridiculous coward cadetbonespurs"
1267628770908729344,"shantar islands amazingly beautiful rich whales killer whales pinnipeds inhabi"
1267305020883681280,"literally pause posting content isnt blacklivesmatter related"
1267516357295439872,"rap cover cranberries zombie bad wolves song power"
1267286278971719680,"unite antifa black lives matter conservatives high jacked black community"
1267905598680707072,"dont talk world dead lol thing finally call duty zombi"
1266536712588517376,"fight moment failed social experimentwe fight cnn"
1267781832176779264,"worked morning time shower life order good morning babiesssss"
1267652033076776960,"long awaited federally backed loan program loan limits million positioned"
1267993549318078464,"worthwhile protest riot issues worth experts support"
1267412097832488960,"final episode ikoria dd adventure mystery solved happen npcs"
1267770655388454912,"intown stay strong baby shining"
1267304287052484608,"good morning time finally make millionaire whos la"
1267857247733813248,"watch"
1267940484762107904,"check creator id rainbow acnhdesign acnhpatterns acnhdesigns pride animalcrossing acnh"
1267968137997111296,"companies damn scared word gay pride month piece merchandise labeled pride rainb"
1267998622232334336,"ig boot rainbow rough gradient blue gray"
1267501535136628736,"horse write owners make celebrity"
1267650044527882240,"tomorrow voting moved covid elections montana mexico maryland south dakota dc iowa penns"
1267992835330125824,"rainbow meirm"
1267407423700164608,"unicornbeacon entropy beacon brisk spotted cat jumped sleepy dhole woofed yelp bark"
1267603332761346048,"black kumele uzazi mfondini call ndebele people kwerekwere"
1267525069313576960,"secret lair time ordered full sleeves pack mtg mtgsecretlair"
1267982386056355840,"july st zombie virus broke"
1267983822416605184,"remember covid stay safe"
1267839413284995072,"zombie apocalypse"
1267659724402688000,"hola journos connect covid aims provide busy newsrooms updates pandemic fighti"
1267513816432115712,"bring flaw bo ascension zombie ai stunt rolls fucking ducking aids"
1268017122388529152,"awful rip mister dorn remember blacklivesmatter"
1267828066287411200,"ckemery nun yeah means"
1267988671262797824,"twitter thing dont shy scholarships blackoutuesday whyididntreport covid houstonprotest"
1268016245942689792,"yall friends family countries hear blacklivesmatt"
1267833417019854848,"nun yeah gathered"
1267944756287504384,"wats give visa london stays boston stay nasana live zombie"
1267912520783798272,"unicorn labour rig elections nofanx"
1267734329905430528,"im stating obvious melmacian unicorn"
1267303811955273728,"black lives matter georgefloyd handsupdontshoot blacklivesmatter speakup icantbreathe"
1266491537082507264,"magic twitter dumpster fire latelybut bubbles mtg magicthegathering"
1267406713684209664,"narrows field misogynist racist unicorn"
1267916222001229824,"punch literally ended wouldve ha"
1267629761628528640,"give stubbs zombie remake cowards"
1266537566700023808,"whats terrible witness police car fire racial injustice"
1265587066789920768,"dont announcements instantly banning establishing watchlist"
1267882536602140672,"bc willow yall drive wait car su"
1267985301856612352,"australias golfers show youre highest bidder"
1268016211364851712,"people silent talking whats happening racism loud blacklivesmatter"
1267310181676810240,"thinking thinking anonymus blacklivesmatters georgefloyd protests"
1268016610301947904,"books discuss institutional racism racism manifests todays society tv shows movies"
1267424242313895936,"dare give mega unicornbtw dont lol agre"
1267920598786813952,"im impressed travelled work jolly laid"
1266537544407187456,"freedom press protected amendment wasnt protected today"
1265774180479332352,"happy hear playing young li"
1268016727029420032,"scarier youve written dont mister king real life blacklivesmatter"
1267824776015278080,"listening zombie"
1267306797301297152,"bunkerboy favorite nickname racist pig"
1267596441037537280,"gf dedicated day assignments video called ke happy struu mogirl looked"
1267508845741473792,"giantpunky glitched planes"
1267539687054475264,"struggling cope current corona pandemic ebola"
1267977793544962048,"year grandson selfie rainbow light itit awesome"
1268010525012766720,"manhattan bridge protest moving brooklyn side nycprotests"
1267298206578327552,"dc nation burning fires started fanned flames brand"
1267986872804007936,"students teachers faculty members isolation coming contact covid"
1267525764775211008,"zombie costume blue purple pink"
1267915214642503680,"great youre shitty couple searching unicorn favor stop se"
1267961241592627200,"cpalmer"
1267069770748182528,"gw maverick tonight gyruda fast overcome deck felt great didnt miss"
1265051681428996096,"wow honored review dnd mtg tap untap burn core mechanics guild"
1267308928536207360,"pasadena city hall candlelight vigil remembrance george floyd black people kille"
1266536790518837248,"loathe loathe destroying property spray paint breaking windows isnt making state"
1267550038001156096,"im male unicorn bitches"
1267402820078059520,"interview unicorn bubble bursting months bullish"
1267977153225908224,"love twitter receipts back real quick"
1268004606442967040,"boy knew longest og rainbow god lmao"
1266536752937709568,"theyre police escalated mob"
1267446883758280704,"sis russia adopt socialism country"
1267899262739906560,"havent respond nfr unicorn"
1267950637221703680,"rainbow luv erika praying sons safety"
1267889579622830080,"shameless zombie promposal"
1267847609944870912,"support reclaim block unicorn riot"
1267572728170758144,"unicorn riot live mn"
1267961277231648768,"fake im puppet play pull strings obey high oxytocin hit yeah zomb"
1267304454803652608,"isolated incident videos murders deaths"
1267546742079324160,"holy frikits babu frikas zombie zombie daily fan request zombie art babu frik star wars"
1267634063554359296,"bts rainbow"
1267484510192496640,"fancam young onewe singing zombie day idol radio today"
1267968633814335488,"round friends ponies pink unicorn purple pegasus blue pegasus"
1267796586429583360,"thing scty bailout proven imo box normal corporate"
1267998148707913728,"ya dio pena seungcheol leader soonyoung radiant minghao gorgeous seungkwan galaxy hoshi rainbow seun"
1267617527124893696,"gaga im finally fun tonight chromatica ball bye im soft song"
1267310468000919552,"longbeach police harassing peaceful protesters looters freely raiding stores jus"
1267630704885673984,"people taking streets protest racism systematic oppression labeled violent rioters ha"
1267919167707066368,"penis rainbow hat allowed posted twitter"
1267968489999888384,"youre maker show youve character displaying bigotry provide"
1267287373630656512,"theyre george floyd excuse majority rioters pr"
1267922283370352640,"im asked parts ribbon significant parts rainbow"
1267608531252936704,"tie dye baby shirt etsysocial"
1267854668270571520,"happy book birthday amazing black authors books today crown"
1267633969811673088,"traded nfr unicorn"
1267851780928557056,"luisacarreras donate unicorn riot fund campaign left aft"
1267297013390925824,"watch edge seat waiting chicken coward snap make"
1267991952563134464,"church tied virus cases stoke concerns wave infections greater seoul covid corona coronavirus"
1267864462465339392,"train busan zombie movie made yeah traintobusan"
1266537470738542592,"yeah hear spin paid trump supporting conservative rioters destroy cnn"
1267723867692380160,"prove give back fricking unicorn"
1265719007342190592,"ive terrible idea sliver queen umori lands walkers mtg edh"
1267972708781998080,"surprised read brain dead put relevant walking zombie"
1267304175681052672,"year black kid killed police officer brazili attention bc hes"
